Player,Team,Pos,Age,G,FG,FGA,3P,3PA,3P%,2P%,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PTS
Markelle Fultz,ORL,PG,24.0,32.0,4.8,10.4,0.3,1.2,0.254,0.488,0.795,0.8,2.4,3.2,4.8,1.2,0.3,2.0,11.4
Markieff Morris,"2TM, MIA, BRK, LAL, DAL",PF,33.0,29.0,1.8,4.3,0.8,2.3,0.361,0.458,0.74,0.5,1.9,2.4,1.0,0.3,0.1,0.7,4.8
Marko Simonovic,CHI,C,22.0,8.0,0.4,1.4,0.1,0.6,0.225,0.316,0.613,0.4,0.4,0.7,0.0,0.0,0.0,0.1,1.4
Markquis Nowell,TOR,SG,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0
Markus Howard,DEN,SG,22.0,34.0,1.2,3.1,0.7,2.0,0.338,0.446,0.824,0.0,0.4,0.5,0.4,0.2,0.0,0.4,3.4
Marques Bolden,"CLE, MIL, 2TM, CHO",C,24.0,7.0,0.9,1.4,0.0,0.0,0.0,0.437,0.531,0.6,1.5,2.2,0.2,0.2,0.4,0.2,2.2
Marquese Chriss,"DAL, GSW",PF,24.0,18.0,2.2,5.4,0.4,1.6,0.26,0.47,0.584,1.2,3.6,4.8,0.8,0.2,0.7,0.8,5.5
Marvin Bagley III,"WAS, 2TM, DET, SAC","PF, C",23.0,35.0,5.0,9.2,0.4,1.4,0.296,0.583,0.702,2.4,4.3,6.7,1.0,0.5,0.6,1.1,12.1
Mason Jones,"HOU, PHI, 2TM, LAL, SAC",SG,23.0,15.0,1.3,3.0,0.5,1.5,0.352,0.417,0.651,0.3,1.3,1.6,1.1,0.3,0.0,0.6,4.4
Mason Plumlee,"LAC, DET, 2TM, CHO",C,32.0,56.0,3.4,5.2,0.0,0.0,0.0,0.656,0.63,2.4,5.5,7.9,2.7,0.6,0.6,1.4,8.8
Matisse Thybulle,"PHI, POR, 2TM","SF, SG",25.0,56.0,1.8,4.2,0.9,2.6,0.341,0.566,0.675,0.6,1.6,2.2,1.0,1.5,0.8,0.5,4.9
Matt Mooney,NYK,SG,25.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Matt Ryan,"2TM, BOS, NOP, MIN, LAL",SF,25.0,19.0,1.3,3.8,1.1,3.2,0.358,0.288,0.684,0.1,0.7,0.8,0.4,0.3,0.0,0.3,3.9
Matt Thomas,"CHI, TOR, UTA, 2TM",SG,26.0,32.0,1.2,3.0,0.7,2.0,0.349,0.476,0.843,0.2,0.9,1.1,0.4,0.1,0.0,0.3,3.4
Matthew Dellavedova,"CLE, SAC",PG,31.0,22.0,0.8,3.0,0.3,1.4,0.246,0.336,0.786,0.2,0.9,1.1,2.9,0.2,0.0,0.4,2.2
Matthew Hurt,MEM,PF,23.0,8.0,1.5,4.3,0.6,2.5,0.25,0.5,1.0,1.1,0.9,2.0,0.5,0.4,0.4,0.3,4.0
Maurice Harkless,"MIA, SAC, 2TM","SF, PF",27.0,30.0,1.7,3.8,0.6,2.0,0.321,0.45,0.572,0.3,1.9,2.2,0.9,0.7,0.5,0.6,4.5
Max Christie,LAL,SG,20.0,54.0,1.3,3.1,0.6,1.6,0.387,0.452,0.829,0.2,1.8,2.0,0.7,0.2,0.2,0.4,3.6
Max Strus,"MIA, CLE",SF,26.0,64.0,3.6,8.4,2.2,6.0,0.362,0.64,0.782,0.5,2.5,3.0,2.0,0.5,0.2,0.9,10.1
Maxi Kleber,DAL,"PF, C",30.0,47.0,2.1,4.9,1.2,3.4,0.358,0.572,0.76,0.9,3.6,4.5,1.4,0.4,0.8,0.7,6.1
Maxwell Lewis,LAL,SF,21.0,34.0,0.1,0.6,0.0,0.3,0.111,0.25,0.667,0.1,0.1,0.1,0.2,0.1,0.0,0.3,0.3
McKinley Wright IV,"DAL, MIN",PG,24.0,16.0,1.0,2.1,0.2,0.7,0.41,0.764,0.342,0.2,0.7,0.8,1.4,0.2,0.1,0.4,2.6
Melvin Frazier,OKC,SG,25.0,3.0,4.3,16.0,0.3,7.0,0.048,0.444,0.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,10.7
Meyers Leonard,"MIA, MIL",C,29.0,6.0,1.3,2.8,0.9,2.2,0.409,0.318,0.694,0.6,2.3,3.0,0.4,0.1,0.0,0.7,4.0
Mfiondu Kabengele,"BOS, CLE, LAC, 2TM",PF,24.0,20.0,0.8,2.3,0.3,1.2,0.191,0.492,0.855,0.6,1.3,1.9,0.4,0.3,0.2,0.4,2.3
Micah Potter,"UTA, DET","PF, C",24.0,9.0,1.4,2.8,0.4,1.0,0.333,0.611,0.583,0.8,1.9,2.7,0.3,0.2,0.2,0.3,3.6
Michael Carter-Williams,ORL,"SG, PG",30.0,18.0,2.4,6.1,0.4,1.4,0.29,0.443,0.592,0.8,2.1,2.9,3.0,0.6,0.4,1.6,6.6
Michael Foster Jr.,PHI,PF,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Porter Jr.,DEN,SF,24.0,53.0,6.0,12.8,2.4,6.4,0.366,0.568,0.746,1.2,5.4,6.6,1.4,0.7,0.6,1.2,15.8
Mikal Bridges,"BRK, PHO, 2TM","SF, SG",26.0,67.0,6.6,13.8,2.1,5.4,0.385,0.552,0.862,1.0,3.4,4.4,2.9,1.1,0.6,1.4,18.4
Mike Conley,"UTA, 2TM, MIN",PG,35.0,56.0,4.4,9.9,2.3,5.6,0.405,0.482,0.845,0.6,2.4,2.9,6.1,1.2,0.2,1.6,13.0
Mike James,BRK,PG,30.0,13.0,2.6,7.1,0.8,2.4,0.355,0.377,0.778,0.2,2.2,2.5,4.2,0.5,0.1,1.5,7.7
Mike Muscala,"2TM, BOS, DET, 3TM, OKC, WAS",C,31.0,34.0,1.8,4.3,1.1,2.9,0.334,0.527,0.661,0.6,2.2,2.8,0.7,0.2,0.3,0.4,5.3
Mike Scott,PHI,PF,32.0,51.0,1.5,4.1,1.0,3.0,0.342,0.411,0.667,0.2,2.1,2.4,0.8,0.5,0.3,0.4,4.2
Miles Bridges,CHO,"SF, PF",23.0,72.0,6.8,14.0,2.0,5.6,0.36,0.571,0.831,1.1,5.7,6.8,3.1,0.8,0.7,1.8,18.0
Miles McBride,NYK,PG,22.0,57.0,1.7,4.3,0.9,2.6,0.32,0.448,0.731,0.3,0.9,1.1,1.3,0.6,0.1,0.3,4.7
Mitchell Robinson,NYK,C,24.0,48.0,3.2,4.8,0.0,0.0,0.0,0.665,0.467,4.2,4.4,8.6,0.6,1.0,1.6,0.8,7.4
Miye Oni,UTA,SG,24.0,35.0,0.4,1.2,0.4,1.0,0.233,0.728,0.416,0.2,0.8,1.0,0.4,0.1,0.0,0.2,1.1
Mo Bamba,"LAL, PHI, 2TM, ORL",C,24.0,45.0,2.6,5.3,0.9,2.4,0.365,0.566,0.672,1.5,3.8,5.3,0.8,0.3,1.1,0.8,6.8
Monte Morris,"2TM, DET, MIN, DEN, WAS",PG,27.0,42.0,3.1,6.9,1.0,2.8,0.358,0.485,0.731,0.3,2.0,2.3,3.1,0.6,0.2,0.6,8.0
Montrezl Harrell,"PHI, 2TM, LAL, WAS, CHO",C,28.0,54.0,4.5,7.1,0.0,0.2,0.1,0.644,0.707,2.0,3.4,5.3,1.6,0.4,0.6,0.9,11.5
Moritz Wagner,"BOS, WAS, 3TM, ORL",C,24.0,41.0,2.8,5.7,0.8,2.3,0.332,0.544,0.778,0.8,2.8,3.7,1.2,0.5,0.3,1.0,8.1
Moses Brown,"2TM, BRK, POR, CLE, LAC, OKC, DAL",C,22.0,27.0,1.7,2.9,0.0,0.0,0.0,0.512,0.45,1.5,2.5,4.0,0.1,0.3,0.4,0.5,4.3
Moses Moody,GSW,SG,20.0,60.0,2.0,4.5,0.9,2.4,0.362,0.581,0.754,0.6,1.5,2.1,0.7,0.3,0.2,0.5,5.8
Moses Wright,"DAL, LAC, 2TM",PF,23.0,3.0,0.2,0.8,0.0,0.2,0.0,0.222,0.667,0.2,0.4,0.6,0.6,0.0,0.2,0.0,1.0
Mouhamadou Gueye,TOR,PF,25.0,11.0,1.0,3.5,0.0,0.3,0.0,0.314,0.444,1.1,1.0,2.1,0.5,0.3,1.6,1.1,2.4
Mouhamed Gueye,ATL,PF,21.0,6.0,1.3,3.8,0.5,1.5,0.333,0.357,0.833,1.7,2.0,3.7,0.7,0.8,0.7,0.2,4.0
Moussa Diabaté,LAC,C,22.0,16.0,1.0,1.9,0.0,0.0,0.25,0.518,0.634,1.4,0.8,2.2,0.3,0.4,0.2,0.3,2.7
Mychal Mulder,"MIA, GSW, 2TM, ORL",PG,27.0,24.0,1.7,4.6,1.3,3.5,0.374,0.326,0.909,0.1,1.2,1.3,0.5,0.2,0.2,0.3,5.1
Myles Powell,PHI,PG,24.0,11.0,0.5,1.5,0.1,0.5,0.167,0.364,1.0,0.1,0.5,0.5,0.3,0.1,0.0,0.3,1.2
Myles Turner,IND,C,26.0,57.0,5.5,10.6,1.5,4.2,0.35,0.63,0.772,1.4,5.6,7.0,1.2,0.7,2.6,1.4,15.2
Mãozinha Pereira,MEM,SF,23.0,7.0,2.6,5.0,0.7,1.9,0.385,0.591,0.7,1.6,3.7,5.3,0.3,0.9,0.6,0.7,6.9
Naji Marshall,NOP,SF,24.0,58.0,2.6,6.1,0.8,2.4,0.31,0.497,0.771,0.6,3.0,3.6,2.1,0.7,0.2,1.1,7.4
Nassir Little,"POR, PHO","SF, PF",22.0,47.0,2.2,4.8,0.8,2.5,0.337,0.588,0.775,0.7,2.4,3.2,0.8,0.3,0.4,0.6,6.1
Nate Darling,CHO,SG,22.0,7.0,0.3,1.0,0.3,1.0,0.286,0.0,1.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,1.3
Nate Hinton,"IND, DAL, HOU",SG,22.0,13.0,0.5,1.4,0.2,0.6,0.237,0.27,0.5,0.2,0.5,0.6,0.4,0.2,0.1,0.3,1.4
Nathan Knight,"ATL, MIN","PF, C",24.0,36.0,1.2,2.5,0.2,0.7,0.285,0.551,0.739,0.8,1.2,2.0,0.4,0.3,0.2,0.5,3.7
Nathan Mensah,CHO,C,25.0,25.0,0.5,1.1,0.0,0.0,0.0,0.429,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,1.3
Naz Reid,MIN,"PF, C",22.0,74.0,4.2,8.4,1.2,3.2,0.364,0.588,0.718,1.1,3.5,4.6,1.1,0.6,0.9,1.2,11.1
Neemias Queta,"BOS, SAC",C,23.0,16.0,1.6,2.7,0.0,0.0,0.0,0.586,0.454,1.3,1.6,2.9,0.4,0.2,0.6,0.4,3.6
Nemanja Bjelica,"SAC, GSW, 2TM, MIA","PF, C",32.0,36.0,2.3,5.0,0.8,2.3,0.336,0.55,0.693,0.8,2.7,3.4,2.0,0.5,0.2,0.9,6.2
Nerlens Noel,"NYK, BRK, DET, 2TM",C,27.0,25.0,1.1,2.4,0.0,0.1,0.2,0.419,0.656,1.2,2.8,4.1,0.7,1.0,1.0,1.0,2.8
Nic Claxton,BRK,C,22.0,56.0,4.3,6.5,0.0,0.1,0.1,0.663,0.539,2.1,5.4,7.5,1.4,0.7,1.8,1.0,9.9
Nick Richards,CHO,"PF, C",24.0,50.0,2.1,3.2,0.0,0.0,0.25,0.622,0.705,1.4,2.8,4.2,0.4,0.2,0.6,0.7,5.4
Nick Smith Jr.,CHO,SG,19.0,51.0,2.2,5.7,1.2,2.9,0.432,0.35,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,5.9
Nickeil Alexander-Walker,"UTA, NOP, 2TM, MIN",SG,24.0,47.0,2.9,7.2,1.3,3.8,0.351,0.472,0.736,0.4,1.9,2.2,2.0,0.6,0.4,1.1,8.0
Nico Mannion,GSW,PG,19.0,30.0,1.3,3.8,0.7,2.0,0.367,0.315,0.821,0.2,1.3,1.5,2.3,0.5,0.0,1.0,4.1
Nicolas Batum,"PHI, LAC, 2TM","SF, PF",34.0,54.0,2.2,4.8,1.3,3.5,0.379,0.659,0.604,0.7,3.2,3.9,1.9,0.9,0.7,0.6,6.0
Nicolò Melli,"DAL, NOP, 2TM",PF,30.0,30.0,1.0,3.1,0.5,1.9,0.264,0.405,0.78,0.6,2.1,2.7,1.0,0.3,0.1,0.3,3.0
Nik Stauskas,"MIA, 2TM, BOS",SG,28.0,5.0,0.8,2.3,0.6,1.4,0.411,0.167,0.639,0.2,0.4,0.6,0.3,0.0,0.0,0.1,3.0
Nikola Jokić,DEN,C,26.0,74.0,10.1,17.1,1.1,3.1,0.367,0.64,0.829,2.7,9.5,12.2,8.8,1.4,0.8,3.4,26.1
Nikola Jović,MIA,PF,20.0,30.0,2.3,5.4,1.0,2.9,0.314,0.556,0.824,0.6,2.6,3.2,1.4,0.5,0.2,0.8,6.6
Nikola Vučević,"CHI, 2TM, ORL",C,31.0,62.0,8.5,17.5,1.9,5.2,0.358,0.536,0.826,2.2,9.1,11.2,3.5,0.9,0.8,1.8,20.4
Noah Clowney,BRK,PF,19.0,23.0,2.2,4.0,0.5,1.4,0.364,0.633,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,5.8
Noah Vonleh,"BOS, BRK",C,26.0,14.0,0.2,0.9,0.0,0.4,0.125,0.25,0.5,0.4,0.8,1.2,0.3,0.0,0.2,0.5,0.6
Norman Powell,"TOR, LAC, POR, 2TM","SF, SG",28.0,46.0,6.0,12.7,2.3,5.5,0.426,0.516,0.841,0.5,2.5,3.0,1.9,0.9,0.4,1.5,18.2
Norvel Pelle,"BRK, 3TM, NYK, UTA, SAC",C,27.0,6.0,0.6,1.4,0.0,0.0,0.0,0.455,0.383,0.7,0.9,1.6,0.3,0.0,0.5,0.4,1.9
OG Anunoby,"NYK, TOR, 2TM",SF,25.0,43.0,5.9,12.4,2.2,5.7,0.383,0.559,0.773,1.2,3.6,4.8,2.2,1.5,0.7,1.7,15.6
Obi Toppin,"IND, NYK",PF,24.0,71.0,3.0,5.8,0.9,2.6,0.34,0.646,0.767,0.7,2.5,3.2,1.0,0.4,0.4,0.6,7.7
Ochai Agbaji,"UTA, TOR, 2TM",SG,23.0,54.0,2.5,6.0,0.9,3.0,0.299,0.526,0.708,0.9,1.7,2.7,1.1,0.5,0.5,0.8,6.4
Olivier Sarr,OKC,C,23.0,15.0,1.7,3.1,0.3,0.9,0.302,0.651,0.736,1.2,2.2,3.3,0.5,0.1,0.6,0.5,4.4
Olivier-Maxence Prosper,DAL,PF,21.0,40.0,1.0,2.6,0.3,1.1,0.289,0.458,0.683,0.6,1.4,2.0,0.6,0.2,0.1,0.2,3.0
Omer Yurtseven,"MIA, UTA",C,24.0,38.0,2.1,3.7,0.1,0.5,0.243,0.595,0.712,1.3,2.7,4.1,0.6,0.2,0.3,0.6,4.8
Onuralp Bitim,CHI,SG,24.0,23.0,1.4,3.7,0.5,1.9,0.273,0.5,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,3.5
Onyeka Okongwu,ATL,C,22.0,58.0,3.3,5.1,0.1,0.4,0.16,0.668,0.733,2.2,3.6,5.8,1.0,0.6,1.1,0.8,8.2
Orlando Robinson,MIA,C,22.0,34.0,1.2,2.4,0.1,0.3,0.266,0.528,0.735,1.2,2.0,3.2,0.8,0.3,0.3,0.5,3.2
Oscar Tshiebwe,IND,PF,24.0,8.0,1.3,2.5,0.0,0.0,0.0,0.5,0.75,1.0,1.0,2.0,0.3,0.3,0.1,0.0,3.3
Oshae Brissett,"IND, BOS","SF, PF",24.0,52.0,2.4,5.6,1.0,2.6,0.339,0.503,0.696,1.3,3.0,4.3,0.9,0.6,0.4,0.6,7.4
Otto Porter Jr.,"2TM, ORL, GSW, TOR, CHI","SF, PF",28.0,24.0,2.7,6.2,1.0,2.9,0.326,0.552,0.916,0.8,3.5,4.3,1.4,0.9,0.2,0.5,7.3
Ousmane Dieng,OKC,PF,20.0,36.0,1.7,4.0,0.6,2.3,0.282,0.605,0.764,0.4,1.7,2.1,1.2,0.3,0.2,0.6,4.4
P.J. Tucker,"HOU, PHI, 2TM, MIA, MIL, LAC",PF,36.0,39.0,1.2,3.0,0.7,1.9,0.374,0.374,0.712,1.0,2.8,3.8,0.9,0.7,0.3,0.6,3.4
P.J. Washington,"DAL, 2TM, CHO","PF, C",24.0,58.0,4.8,10.9,1.8,5.3,0.343,0.546,0.702,1.2,4.4,5.6,2.1,1.0,0.9,1.4,12.8
PJ Dozier,"DEN, SAC","SF, SG",25.0,28.0,1.9,4.9,0.6,2.2,0.251,0.458,0.468,0.5,2.1,2.7,1.3,0.5,0.3,0.6,4.8
Paolo Banchero,ORL,PF,20.0,76.0,7.4,16.6,1.4,4.2,0.318,0.482,0.732,1.1,5.8,6.9,4.6,0.8,0.6,3.0,21.3
Paris Bass,PHO,SF,26.0,2.0,1.0,3.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,2.0,0.0,0.5,0.0,1.0,3.0
Pascal Siakam,"IND, TOR, 2TM",PF,28.0,59.0,8.5,16.9,1.2,3.5,0.336,0.551,0.756,1.8,5.7,7.4,4.8,1.0,0.5,2.1,22.3
Pat Connaughton,MIL,"SF, SG",30.0,68.0,2.6,6.2,1.6,4.5,0.362,0.606,0.756,0.8,3.4,4.2,1.5,0.7,0.2,0.5,7.5
Pat Spencer,GSW,PG,27.0,6.0,0.3,0.7,0.0,0.3,0.0,1.0,0.0,0.3,0.3,0.7,0.8,0.0,0.0,0.2,0.7
Patrick Baldwin Jr.,"GSW, WAS",SF,20.0,34.0,1.5,3.8,0.9,2.7,0.351,0.462,0.673,0.2,2.0,2.2,0.6,0.4,0.2,0.4,4.2
Patrick Beverley,"PHI, 2TM, MIL, MIN, LAL, LAC, CHI","SG, PG",34.0,47.0,2.3,5.6,1.1,3.3,0.344,0.5,0.755,0.8,2.9,3.6,3.0,0.8,0.6,0.9,6.7
Patrick McCaw,TOR,SF,25.0,5.0,0.2,0.2,0.0,0.0,0.0,1.0,1.0,0.2,0.4,0.6,0.8,0.4,0.0,0.0,1.0
Patrick Patterson,LAC,PF,31.0,38.0,1.9,4.3,1.1,2.9,0.357,0.604,0.765,0.5,1.5,2.0,0.8,0.4,0.2,0.3,5.2
Patrick Williams,CHI,PF,20.0,53.0,3.6,7.5,1.1,2.6,0.43,0.505,0.776,1.0,3.2,4.1,1.2,0.8,0.7,1.2,9.6
Patty Mills,"SAS, 2TM, MIA, BRK, ATL","SG, PG",34.0,42.0,2.4,6.2,1.4,4.2,0.334,0.478,0.76,0.3,1.1,1.3,1.6,0.6,0.1,0.7,6.8
Paul George,LAC,"SF, PF",32.0,54.0,8.2,18.2,3.0,7.9,0.387,0.505,0.876,0.6,5.6,6.2,4.9,1.6,0.4,3.2,23.5
Paul Millsap,"DEN, PHI, BRK, 2TM","PF, C",36.0,30.0,1.9,4.4,0.4,1.4,0.261,0.49,0.713,1.3,2.4,3.7,1.1,0.5,0.4,0.7,4.9
Paul Reed,PHI,"PF, C",22.0,54.0,2.0,3.6,0.1,0.3,0.196,0.586,0.598,1.6,2.1,3.6,0.6,0.7,0.6,0.6,4.5
Paul Watson,"TOR, OKC",SF,26.0,18.0,1.4,3.4,0.9,2.6,0.35,0.556,0.562,0.2,2.1,2.4,0.8,0.2,0.2,0.4,3.8
Payton Pritchard,BOS,"SG, PG",24.0,67.0,2.7,6.1,1.5,3.8,0.393,0.508,0.865,0.6,1.8,2.3,2.1,0.4,0.1,0.7,7.3
Pete Nance,CLE,PF,23.0,8.0,0.1,0.8,0.1,0.1,1.0,0.0,0.0,0.0,0.4,0.4,0.0,0.1,0.0,0.1,0.4
Petr Cornelie,DEN,PF,26.0,13.0,0.4,1.2,0.1,0.6,0.125,0.571,0.75,0.5,0.5,1.1,0.2,0.1,0.1,0.3,1.1
Peyton Watson,DEN,"SF, SG",20.0,52.0,2.0,4.1,0.4,1.2,0.362,0.532,0.61,0.5,1.9,2.4,0.8,0.3,0.8,0.5,5.0
Precious Achiuwa,"MIA, NYK, TOR, 2TM","PF, C",23.0,56.0,3.1,6.4,0.4,1.4,0.239,0.541,0.606,2.1,3.8,5.9,1.1,0.5,0.7,1.1,7.7
Quentin Grimes,"NYK, DET, 2TM",SG,22.0,44.0,2.5,6.7,1.6,4.8,0.322,0.49,0.77,0.4,1.8,2.2,1.6,0.7,0.3,0.8,7.4
Quenton Jackson,"IND, WAS",PG,24.0,6.0,1.0,2.5,0.0,0.6,0.042,0.3,0.887,0.1,1.0,1.1,1.2,0.4,0.0,0.2,3.4
Quinn Cook,"LAL, CLE, 2TM",PG,27.0,15.0,1.5,3.5,0.6,1.3,0.423,0.449,0.892,0.1,0.8,0.9,1.0,0.2,0.0,0.4,3.8
Quinndary Weatherspoon,"SAS, GSW",SG,24.0,16.0,1.0,1.8,0.1,0.4,0.184,0.602,0.906,0.2,0.8,1.0,0.4,0.2,0.1,0.4,2.5
R.J. Hampton,"2TM, ORL, MIA, DET, DEN","SG, PG",20.0,34.0,2.2,5.3,0.7,2.1,0.305,0.482,0.684,0.4,2.1,2.5,1.5,0.4,0.2,0.9,6.1
RJ Barrett,"NYK, TOR, 2TM","SF, SG",22.0,55.0,7.1,15.6,1.7,4.8,0.356,0.503,0.729,0.9,4.5,5.4,3.1,0.5,0.3,2.1,19.6
RJ Nembhard Jr.,CLE,SG,22.0,14.0,0.4,1.3,0.0,0.1,0.0,0.375,0.75,0.2,0.3,0.5,0.9,0.1,0.0,0.2,1.1
RaiQuan Gray,"SAS, BRK",PF,24.0,2.0,4.6,8.8,1.5,3.6,0.414,0.636,0.5,1.8,3.8,5.6,4.5,0.2,0.6,2.2,11.8
Rajon Rondo,"2TM, LAL, ATL, LAC, CLE",PG,34.0,28.0,1.9,4.7,0.8,2.2,0.372,0.444,0.737,0.4,2.2,2.6,4.4,0.8,0.1,1.8,5.2
Raul Neto,"WAS, CLE",PG,29.0,61.0,2.5,5.2,0.6,1.7,0.323,0.567,0.854,0.3,1.5,1.8,2.3,0.8,0.1,0.8,6.5
Ray Spalding,HOU,C,23.0,2.0,1.0,2.0,0.0,0.5,0.0,0.667,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.5,2.0
Rayan Rupert,POR,SG,19.0,39.0,1.4,4.1,0.7,2.0,0.359,0.313,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,4.0
Rayjon Tucker,"DEN, PHI, MIL, 2TM","SG, PG",24.0,6.0,1.2,1.8,0.7,0.9,0.647,0.409,0.717,0.5,0.9,1.4,1.7,0.7,0.0,0.2,4.0
Reggie Bullock,"HOU, DAL, NYK",SF,30.0,64.0,2.5,6.0,1.8,4.6,0.388,0.525,0.861,0.3,2.8,3.0,1.1,0.6,0.2,0.5,7.2
Reggie Jackson,"DEN, LAC, 2TM","SG, PG",32.0,60.0,4.2,10.2,1.6,4.5,0.347,0.47,0.856,0.4,2.1,2.4,3.6,0.6,0.1,1.6,11.1
Reggie Perry,"IND, BRK, POR, 2TM",PF,21.0,12.0,2.6,5.2,0.2,1.0,0.142,0.665,0.492,1.0,2.4,3.4,0.8,0.5,0.4,0.7,6.0
Richaun Holmes,"DAL, 2TM, WAS, SAC","PF, C",29.0,38.0,3.0,5.0,0.0,0.1,0.312,0.602,0.75,1.8,3.5,5.2,0.8,0.3,0.7,0.8,7.2
Ricky Council IV,PHI,SG,22.0,32.0,1.7,3.5,0.4,1.0,0.375,0.525,0.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,5.4
Ricky Rubio,"CLE, MIN",PG,31.0,45.0,3.0,8.3,1.1,3.6,0.301,0.415,0.84,0.4,2.8,3.2,5.5,1.2,0.2,1.7,9.0
Rob Edwards,OKC,SG,25.0,2.0,0.5,2.0,0.5,2.0,0.25,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.5,1.5
Robert Covington,"PHI, LAC, POR, 2TM","SF, PF",32.0,40.0,2.3,5.4,1.3,3.6,0.361,0.584,0.787,0.9,3.6,4.5,1.3,1.4,1.0,0.7,6.6
Robert Franks,ORL,PF,24.0,7.0,1.9,4.0,0.7,2.1,0.333,0.615,0.923,0.9,1.1,2.0,0.7,0.4,0.4,0.3,6.1
Robert Williams,"BOS, POR",C,24.0,38.0,3.6,5.0,0.0,0.0,0.0,0.718,0.682,2.8,5.0,7.8,1.5,0.9,1.6,1.0,8.2
Robert Woodard II,SAC,SF,22.0,12.0,0.4,1.4,0.1,0.4,0.209,0.292,0.688,0.4,0.7,1.0,0.2,0.0,0.2,0.1,1.0
Robin Lopez,"WAS, CLE, MIL, ORL",C,34.0,40.0,2.2,3.7,0.1,0.3,0.34,0.578,0.774,1.2,1.1,2.2,0.8,0.1,0.4,0.8,5.0
Rodions Kurucs,"HOU, BRK, MIL, 3TM","SF, PF",22.0,10.0,0.6,1.4,0.3,0.9,0.417,0.364,0.562,0.2,0.9,1.1,0.5,0.4,0.2,0.6,1.6
Rodney Hood,"2TM, MIL, POR, TOR, LAC","SF, PF",28.0,36.0,1.3,3.6,0.6,1.8,0.347,0.412,0.862,0.3,1.3,1.6,0.8,0.3,0.1,0.4,3.7
Rodney McGruder,DET,SG,30.0,33.0,2.0,4.5,1.0,2.5,0.426,0.484,0.766,0.6,1.4,2.0,0.9,0.5,0.1,0.4,5.6
Romeo Langford,"BOS, SAS, 2TM",SG,22.0,31.0,1.7,3.9,0.4,1.3,0.246,0.545,0.591,0.7,1.4,2.1,0.6,0.4,0.3,0.4,4.4
Ron Harper Jr.,TOR,PF,22.0,5.0,0.4,0.9,0.2,0.5,0.166,0.357,0.5,0.2,0.2,0.4,0.7,0.0,0.0,0.0,1.1
Rondae Hollis-Jefferson,POR,PF,26.0,11.0,0.8,1.6,0.0,0.1,0.0,0.529,0.563,1.0,1.4,2.4,1.2,0.2,0.4,0.2,2.5
Royce O'Neale,"UTA, BRK, PHO, 2TM",SF,29.0,64.0,2.7,6.6,1.8,4.9,0.379,0.51,0.74,0.8,4.3,5.2,2.8,0.8,0.5,1.0,7.7
Rudy Gay,"SAS, UTA",PF,35.0,58.0,3.0,7.3,1.2,3.5,0.327,0.476,0.815,0.8,3.3,4.0,1.1,0.5,0.4,0.9,8.2
